52300779,9930992120001701,No UMN Items
52187663,9930992290001701,No UMN Items
52089055,9930992570001701,No UMN Items
52526820,9930992610001701,No UMN Items
52036625,9930992680001701,No UMN Items
52036626,9930992700001701,No UMN Items
52128835,9930992870001701,No UMN Items
52036624,9930992940001701,No UMN Items
52036611,9930992960001701,No UMN Items
51990059,9930992980001701,No UMN Items
52300781,9930993150001701,No UMN Items
52036614,9930993200001701,No UMN Items
51950237,9930993220001701,No UMN Items
52526832,9930993360001701,No UMN Items
52523193,9930993680001701,No UMN Items
51909418,9930993730001701,No UMN Items
52036602,9930993750001701,No UMN Items
51916667,9930993790001701,No UMN Items
51990064,9930993930001701,No UMN Items
525783356,9930994930001701,No UMN Items
289258906,9930996060001701,No UMN Items
289233238,9930997420001701,No UMN Items
289275699,9931000310001701,No UMN Items
14205579,9931001040001701,No UMN Items
15029586,9931001130001701,No UMN Items
15029170,9931002230001701,No UMN Items
5187099,9931002510001701,No UMN Items
14960769,9931002680001701,No UMN Items
14273531,9931002870001701,No UMN Items
15213785,9931003010001701,No UMN Items
10304083,9959576800001701,No UMN Items
1098322787,9959576890001701,No UMN Items
10443391,9959577710001701,No UMN Items
10255200,9959577890001701,No UMN Items
10454369,9959578330001701,No UMN Items
10914404,9959578650001701,No UMN Items
607208668,9959579010001701,No UMN Items
10555889,9959579040001701,No UMN Items
10589484,9959580650001701,No UMN Items
10367815,9959580680001701,No UMN Items
11503725,9959580720001701,No UMN Items
10304796,9959580840001701,No UMN Items
10621855,9959580910001701,No UMN Items
62610632,9959592160001701,No UMN Items
3732634,9959596230001701,No UMN Items
4753683,9959596410001701,No UMN Items
23071098,9959603280001701,No UMN Items
192139144,9959607870001701,No UMN Items
25313112,9959608400001701,No UMN Items
3259865,9959610760001701,No UMN Items
23067275,9959612790001701,No UMN Items
33258543,9959616520001701,No UMN Items
23277175,9959619660001701,No UMN Items
365535842,9959620480001701,No UMN Items
23277135,9959629390001701,No UMN Items
14775295,9959635950001701,No UMN Items
7194265,9959643630001701,No UMN Items
14440706,9959645460001701,No UMN Items
43688588,9959647420001701,No UMN Items
952671143,9959650980001701,No UMN Items
875903,9959653230001701,No UMN Items
952671157,9959657890001701,No UMN Items
7007746,9959661900001701,No UMN Items
768419047,9959671460001701,No UMN Items
45692901,9959672830001701,No UMN Items
50196574,9959674730001701,No UMN Items
5231049,9959681320001701,No UMN Items
7403805,9959688970001701,No UMN Items
217542,9959689040001701,No UMN Items
9978529,9959689080001701,No UMN Items
10167076,9959690060001701,No UMN Items
10723862,9959692670001701,No UMN Items
43534615,9959695430001701,No UMN Items
2992668,9959703050001701,No UMN Items
4989855,9959714510001701,No UMN Items
29709993,9959714860001701,No UMN Items
236141,9959719810001701,No UMN Items
2766710,9959725660001701,No UMN Items
28258893,9959728020001701,No UMN Items
10295960,9959731120001701,No UMN Items
952660916,9959731190001701,No UMN Items
81120021,9959731430001701,No UMN Items
19197364,9959731810001701,No UMN Items
62429559,9959732450001701,No UMN Items
668207089,9959741120001701,No UMN Items
64751637,9959741370001701,No UMN Items
19150001,9959743540001701,No UMN Items
23587020,9959745990001701,No UMN Items
61588087,9959746540001701,No UMN Items
